2026-04-15 18:52:31.071 | INFO     | __main__:analyze_models:69 -   model.layers.17.self_attn.v_proj.weight: Sparsity: 72.87% | Rank: 1024/1024
2026-04-15 18:52:32.132 | INFO     | __main__:analyze_models:69 -   model.layers.17.mlp.down_proj.weight: Sparsity: 72.45% | Rank: 2560/2560
2026-04-15 18:52:32.370 | INFO     | __main__:analyze_models:69 -   model.layers.18.self_attn.v_proj.weight: Sparsity: 74.79% | Rank: 1024/1024
2026-04-15 18:52:33.430 | INFO     | __main__:analyze_models:69 -   model.layers.18.mlp.down_proj.weight: Sparsity: 73.19% | Rank: 2560/2560
2026-04-15 18:52:33.667 | INFO     | __main__:analyze_models:69 -   model.layers.19.self_attn.v_proj.weight: Sparsity: 74.59% | Rank: 1024/1024
2026-04-15 18:52:34.728 | INFO     | __main__:analyze_models:69 -   model.layers.19.mlp.down_proj.weight: Sparsity: 74.32% | Rank: 2560/2560
2026-04-15 18:52:34.966 | INFO     | __main__:analyze_models:69 -   model.layers.20.self_attn.v_proj.weight: Sparsity: 76.70% | Rank: 1024/1024
2026-04-15 18:52:36.027 | INFO     | __main__:analyze_models:69 -   model.layers.20.mlp.down_proj.weight: Sparsity: 75.44% | Rank: 2560/2560
2026-04-15 18:52:36.264 | INFO     | __main__:analyze_models:69 -   model.layers.21.self_attn.v_proj.weight: Sparsity: 77.11% | Rank: 1024/1024
2026-04-15 18:52:37.331 | INFO     | __main__:analyze_models:69 -   model.layers.21.mlp.down_proj.weight: Sparsity: 76.43% | Rank: 2560/2560
2026-04-15 18:52:37.569 | INFO     | __main__:analyze_models:69 -   model.layers.22.self_attn.v_proj.weight: Sparsity: 76.24% | Rank: 1024/1024
2026-04-15 18:52:38.630 | INFO     | __main__:analyze_models:69 -   model.layers.22.mlp.down_proj.weight: Sparsity: 77.81% | Rank: 2560/2560
2026-04-15 18:52:38.868 | INFO     | __main__:analyze_models:69 -   model.layers.23.self_attn.v_proj.weight: Sparsity: 77.23% | Rank: 1024/1024
2026-04-15 18:52:39.928 | INFO     | __main__:analyze_models:69 -   model.layers.23.mlp.down_proj.weight: Sparsity: 78.31% | Rank: 2560/2560
2026-04-15 18:52:40.167 | INFO     | __main__:analyze_models:69 -   model.layers.24.self_attn.v_proj.weight: Sparsity: 76.33% | Rank: 1024/1024
2026-04-15 18:52:41.226 | INFO     | __main__:analyze_models:69 -   model.layers.24.mlp.down_proj.weight: Sparsity: 79.39% | Rank: 2560/2560
2026-04-15 18:52:41.463 | INFO     | __main__:analyze_models:69 -   model.layers.25.self_attn.v_proj.weight: Sparsity: 79.22% | Rank: 1024/1024
2026-04-15 18:52:42.529 | INFO     | __main__:analyze_models:69 -   model.layers.25.mlp.down_proj.weight: Sparsity: 79.54% | Rank: 2560/2560
2026-04-15 18:52:42.769 | INFO     | __main__:analyze_models:69 -   model.layers.26.self_attn.v_proj.weight: Sparsity: 79.75% | Rank: 1024/1024
2026-04-15 18:52:43.828 | INFO     | __main__:analyze_models:69 -   model.layers.26.mlp.down_proj.weight: Sparsity: 80.07% | Rank: 2560/2560
2026-04-15 18:52:44.065 | INFO     | __main__:analyze_models:69 -   model.layers.27.self_attn.v_proj.weight: Sparsity: 78.19% | Rank: 1024/1024
2026-04-15 18:52:45.131 | INFO     | __main__:analyze_models:69 -   model.layers.27.mlp.down_proj.weight: Sparsity: 80.38% | Rank: 2560/2560
2026-04-15 18:52:45.369 | INFO     | __main__:analyze_models:69 -   model.layers.28.self_attn.v_proj.weight: Sparsity: 79.57% | Rank: 1024/1024
2026-04-15 18:52:46.429 | INFO     | __main__:analyze_models:69 -   model.layers.28.mlp.down_proj.weight: Sparsity: 80.37% | Rank: 2560/2560
2026-04-15 18:52:46.666 | INFO     | __main__:analyze_models:69 -   model.layers.29.self_attn.v_proj.weight: Sparsity: 77.59% | Rank: 1024/1024
2026-04-15 18:52:47.726 | INFO     | __main__:analyze_models:69 -   model.layers.29.mlp.down_proj.weight: Sparsity: 80.67% | Rank: 2560/2560
2026-04-15 18:52:47.965 | INFO     | __main__:analyze_models:69 -   model.layers.30.self_attn.v_proj.weight: Sparsity: 78.02% | Rank: 1024/1024
2026-04-15 18:52:49.031 | INFO     | __main__:analyze_models:69 -   model.layers.30.mlp.down_proj.weight: Sparsity: 80.90% | Rank: 2560/2560
2026-04-15 18:52:49.268 | INFO     | __main__:analyze_models:69 -   model.layers.31.self_attn.v_proj.weight: Sparsity: 79.63% | Rank: 1024/1024
2026-04-15 18:52:50.334 | INFO     | __main__:analyze_models:69 -   model.layers.31.mlp.down_proj.weight: Sparsity: 80.84% | Rank: 2560/2560
2026-04-15 18:52:50.572 | INFO     | __main__:analyze_models:69 -   model.layers.32.self_attn.v_proj.weight: Sparsity: 78.20% | Rank: 1024/1024
2026-04-15 18:52:51.639 | INFO     | __main__:analyze_models:69 -   model.layers.32.mlp.down_proj.weight: Sparsity: 81.58% | Rank: 2560/2560
2026-04-15 18:52:51.875 | INFO     | __main__:analyze_models:69 -   model.layers.33.self_attn.v_proj.weight: Sparsity: 79.75% | Rank: 1024/1024
2026-04-15 18:52:52.935 | INFO     | __main__:analyze_models:69 -   model.layers.33.mlp.down_proj.weight: Sparsity: 81.94% | Rank: 2560/2560
2026-04-15 18:52:53.175 | INFO     | __main__:analyze_models:69 -   model.layers.34.self_attn.v_proj.weight: Sparsity: 79.65% | Rank: 1024/1024
2026-04-15 18:52:54.235 | INFO     | __main__:analyze_models:69 -   model.layers.34.mlp.down_proj.weight: Sparsity: 83.40% | Rank: 2560/2560
2026-04-15 18:52:54.471 | INFO     | __main__:analyze_models:69 -   model.layers.35.self_attn.v_proj.weight: Sparsity: 81.62% | Rank: 1024/1024
2026-04-15 18:52:55.532 | INFO     | __main__:analyze_models:69 -   model.layers.35.mlp.down_proj.weight: Sparsity: 84.52% | Rank: 2560/2560
2026-04-15 18:52:55.537 | INFO     | __main__:analyze_models:72 - --> Overall Update Sparsity for ViratChauhan/Qwen3-4B-OPSD: 78.08% (Paper claims RL induces 70-95% sparsity)
2026-04-15 18:52:55.549 | INFO     | __main__:analyze_models:33 - ==================================================
2026-04-15 18:52:55.549 | INFO     | __main__:analyze_models:34 - Analyzing: ViratChauhan/Qwen3-4B-GRPO vs Base
2026-04-15 18:52:55.822 | INFO     | __main__:analyze_models:69 -   model.layers.0.self_attn.v_proj.weight: Sparsity: 99.55% | Rank: 1024/1024
2026-04-15 18:52:56.886 | INFO     | __main__:analyze_models:69 -   model.layers.0.mlp.down_proj.weight: Sparsity: 99.49% | Rank: 2560/2560
2026-04-15 18:52:57.124 | INFO     | __main__:analyze_models:69 -   model.layers.1.self_attn.v_proj.weight: Sparsity: 99.50% | Rank: 1024/1024
2026-04-15 18:52:58.129 | INFO     | __main__:analyze_models:69 -   model.layers.1.mlp.down_proj.weight: Sparsity: 98.82% | Rank: 2560/2560
2026-04-15 18:52:58.366 | INFO     | __main__:analyze_models:69 -   model.layers.2.self_attn.v_proj.weight: Sparsity: 99.55% | Rank: 1024/1024
2026-04-15 18:52:59.430 | INFO     | __main__:analyze_models:69 -   model.layers.2.mlp.down_proj.weight: Sparsity: 99.19% | Rank: 2560/2560
2026-04-15 18:52:59.668 | INFO     | __main__:analyze_models:69 -   model.layers.3.self_attn.v_proj.weight: Sparsity: 99.52% | Rank: 1024/1024
2026-04-15 18:53:00.726 | INFO     | __main__:analyze_models:69 -   model.layers.3.mlp.down_proj.weight: Sparsity: 99.21% | Rank: 2560/2560
2026-04-15 18:53:00.964 | INFO     | __main__:analyze_models:69 -   model.layers.4.self_attn.v_proj.weight: Sparsity: 99.56% | Rank: 1024/1024
2026-04-15 18:53:02.028 | INFO     | __main__:analyze_models:69 -   model.layers.4.mlp.down_proj.weight: Sparsity: 99.41% | Rank: 2560/2560
2026-04-15 18:53:02.267 | INFO     | __main__:analyze_models:69 -   model.layers.5.self_attn.v_proj.weight: Sparsity: 99.55% | Rank: 1024/1024
2026-04-15 18:53:03.325 | INFO     | __main__:analyze_models:69 -   model.layers.5.mlp.down_proj.weight: Sparsity: 99.49% | Rank: 2560/2560
2026-04-15 18:53:03.563 | INFO     | __main__:analyze_models:69 -   model.layers.6.self_attn.v_proj.weight: Sparsity: 99.55% | Rank: 1024/1024
2026-04-15 18:53:04.621 | INFO     | __main__:analyze_models:69 -   model.layers.6.mlp.down_proj.weight: Sparsity: 99.51% | Rank: 2560/2560
2026-04-15 18:53:04.859 | INFO     | __main__:analyze_models:69 -   model.layers.7.self_attn.v_proj.weight: Sparsity: 99.56% | Rank: 1024/1024
2026-04-15 18:53:05.923 | INFO     | __main__:analyze_models:69 -   model.layers.7.mlp.down_proj.weight: Sparsity: 99.51% | Rank: 2560/2560
2026-04-15 18:53:06.160 | INFO     | __main__:analyze_models:69 -   model.layers.8.self_attn.v_proj.weight: Sparsity: 99.59% | Rank: 1024/1024
2026-04-15 18:53:07.217 | INFO     | __main__:analyze_models:69 -   model.layers.8.mlp.down_proj.weight: Sparsity: 99.51% | Rank: 2560/2560
2026-04-15 18:53:07.456 | INFO     | __main__:analyze_models:69 -   model.layers.9.self_attn.v_proj.weight: Sparsity: 99.56% | Rank: 1024/1024
2026-04-15 18:53:08.520 | INFO     | __main__:analyze_models:69 -   model.layers.9.mlp.down_proj.weight: Sparsity: 99.48% | Rank: 2560/2560
2026-04-15 18:53:08.756 | INFO     | __main__:analyze_models:69 -   model.layers.10.self_attn.v_proj.weight: Sparsity: 99.58% | Rank: 1024/1024
2026-04-15 18:53:09.813 | INFO     | __main__:analyze_models:69 -   model.layers.10.mlp.down_proj.weight: Sparsity: 99.50% | Rank: 2560/2560
2026-04-15 18:53:10.051 | INFO     | __main__:analyze_models:69 -   model.layers.11.self_attn.v_proj.weight: Sparsity: 99.58% | Rank: 1024/1024
2026-04-15 18:53:11.114 | INFO     | __main__:analyze_models:69 -   model.layers.11.mlp.down_proj.weight: Sparsity: 99.51% | Rank: 2560/2560
2026-04-15 18:53:11.351 | INFO     | __main__:analyze_models:69 -   model.layers.12.self_attn.v_proj.weight: Sparsity: 99.56% | Rank: 1024/1024
2026-04-15 18:53:12.415 | INFO     | __main__:analyze_models:69 -   model.layers.12.mlp.down_proj.weight: Sparsity: 99.53% | Rank: 2560/2560
